time;voltage;current;soc
742.0;4.125;0.153;0.9899707792207834
743.0;4.125;0.153;0.9899569805194847
744.0;4.125;0.153;0.989943181818186
745.0;4.125;0.153;0.9899293831168873
746.0;4.125;0.153;0.9899155844155886
747.0;4.125;0.153;0.9899017857142899
748.0;4.125;0.153;0.9898879870129912
749.0;4.125;0.153;0.9898741883116925
750.0;4.125;0.153;0.9898603896103938
751.0;4.125;0.153;0.9898465909090951
752.0;4.125;0.153;0.9898327922077964
753.0;4.125;0.153;0.9898189935064977
754.0;4.125;0.153;0.989805194805199
755.0;4.125;0.153;0.9897913961039003
756.0;4.125;0.153;0.9897775974026016
757.0;4.125;0.153;0.9897637987013029
758.0;4.125;0.153;0.9897500000000042
759.0;4.125;0.153;0.9897362012987055
760.0;4.125;0.153;0.9897224025974068
761.0;4.125;0.153;0.9897086038961082
762.0;4.125;0.153;0.9896948051948095
763.0;4.125;0.153;0.9896810064935108
764.0;4.124;0.153;0.9896672077922121
765.0;4.124;0.153;0.9896534090909134
766.0;4.124;0.153;0.9896396103896147
767.0;4.124;0.153;0.989625811688316
768.0;4.124;0.153;0.9896120129870173
769.0;4.124;0.153;0.9895982142857186
770.0;4.124;0.153;0.9895844155844199
771.0;4.124;0.153;0.9895706168831212
772.0;4.124;0.153;0.9895568181818225
773.0;4.124;0.153;0.9895430194805238
774.0;4.124;0.153;0.9895292207792251
775.0;4.124;0.153;0.9895154220779264
776.0;4.124;0.153;0.9895016233766277
777.0;4.124;0.153;0.989487824675329
778.0;4.124;0.153;0.9894740259740303
779.0;4.124;0.153;0.9894602272727316
780.0;4.124;0.153;0.989446428571433
781.0;4.124;0.153;0.9894326298701343
782.0;4.124;0.153;0.9894188311688356
783.0;4.124;0.153;0.9894050324675369
784.0;4.124;0.153;0.9893912337662382
785.0;4.124;0.153;0.9893774350649395
786.0;4.124;0.153;0.9893636363636408
787.0;4.124;0.153;0.9893498376623421
788.0;4.124;0.153;0.9893360389610434
789.0;4.124;0.153;0.9893222402597447
790.0;4.124;0.153;0.989308441558446
791.0;4.124;0.153;0.9892946428571473
792.0;4.124;0.153;0.9892808441558486
793.0;4.124;0.153;0.9892670454545499
794.0;4.124;0.153;0.9892532467532512
795.0;4.124;0.153;0.9892394480519525
796.0;4.124;0.153;0.9892256493506538
797.0;4.124;0.153;0.9892118506493551
798.0;4.124;0.153;0.9891980519480564
799.0;4.124;0.153;0.9891842532467577
800.0;4.124;0.153;0.989170454545459
801.0;4.124;0.153;0.9891566558441603
802.0;4.124;0.153;0.9891428571428617
803.0;4.124;0.153;0.989129058441563
804.0;4.124;0.153;0.9891152597402643
